"","AF3","F7","F3","FC5","T7","P7","O1","O2","P8","T8","FC6","F4","F8","AF4"
"AF3",1,-0.224420998914733,1,0.119734213181878,-0.311704670794797,-0.264499741856401,-0.0395525216839698,-0.37291442159917,0.308666752982035,-0.143222335163442,-0.0221727349080565,-0.275343562272604,-0.0037848135023971,0.341689591195937
"F7",-0.224420998914733,1,-0.224420998914733,-0.159432701429833,0.142677472106405,0.181565590240415,-0.14239375316732,0.25605506705616,-0.338928478651371,0.0105589081263981,-0.0819156485546073,0.104234513005792,-0.118893694017521,-0.32467332442693
"F3",1,-0.224420998914733,1,0.119734213181878,-0.311704670794797,-0.264499741856401,-0.0395525216839698,-0.37291442159917,0.308666752982035,-0.143222335163442,-0.0221727349080565,-0.275343562272604,-0.0037848135023971,0.341689591195937
"FC5",0.119734213181878,-0.159432701429833,0.119734213181878,1,-0.262582239053485,-0.227035947487715,-0.0148372852344913,-0.285791429570468,0.239621280851991,-0.119592210343238,-0.0325029036136693,-0.245325120912847,-0.0133595670248086,0.231049586691985
"T7",-0.311704670794797,0.142677472106405,-0.311704670794797,-0.262582239053485,1,0.33877126609622,-0.138998511436047,0.497391765994138,-0.60018409756951,0.00569871577208295,-0.146319807684797,0.296996748475104,-0.188753664368862,-0.566437217282236
"P7",-0.264499741856401,0.181565590240415,-0.264499741856401,-0.227035947487715,0.33877126609622,1,-0.0892755816221504,0.48737773577169,-0.555662736838636,-0.0358797101053582,-0.131244248257459,0.293469847152542,-0.200049181817047,-0.586403113182401
"O1",-0.0395525216839698,-0.14239375316732,-0.0395525216839698,-0.0148372852344913,-0.138998511436047,-0.0892755816221504,1,-0.120667075636507,0.0531182881743401,-0.117023878984748,-0.055106525881637,-0.119888415570134,-0.0203261574651174,0.0605533866143417
"O2",-0.37291442159917,0.25605506705616,-0.37291442159917,-0.285791429570468,0.497391765994138,0.48737773577169,-0.120667075636507,1,-0.724336906308479,0.0524318641928119,-0.157238227555908,0.373222260586212,-0.216578642074785,-0.738627148074832
"P8",0.308666752982035,-0.338928478651371,0.308666752982035,0.239621280851991,-0.60018409756951,-0.555662736838636,0.0531182881743401,-0.724336906308479,1,-0.139181782967565,0.0504518151477215,-0.458503145090296,0.172644037629604,0.737613698875971
"T8",-0.143222335163442,0.0105589081263981,-0.143222335163442,-0.119592210343238,0.00569871577208295,-0.0358797101053582,-0.117023878984748,0.0524318641928119,-0.139181782967565,1,-0.00949182712819248,-0.0180300934988696,-0.111231962961251,-0.102193643694673
"FC6",-0.0221727349080565,-0.0819156485546073,-0.0221727349080565,-0.0325029036136693,-0.146319807684797,-0.131244248257459,-0.055106525881637,-0.157238227555908,0.0504518151477215,-0.00949182712819248,1,-0.124710967702275,-0.0639045300059754,0.0764615872507699
"F4",-0.275343562272604,0.104234513005792,-0.275343562272604,-0.245325120912847,0.296996748475104,0.293469847152542,-0.119888415570134,0.373222260586212,-0.458503145090296,-0.0180300934988696,-0.124710967702275,1,-0.154560099362521,-0.48411171672106
"F8",-0.0037848135023971,-0.118893694017521,-0.0037848135023971,-0.0133595670248086,-0.188753664368862,-0.200049181817047,-0.0203261574651174,-0.216578642074785,0.172644037629604,-0.111231962961251,-0.0639045300059754,-0.154560099362521,1,0.145677905549739
"AF4",0.341689591195937,-0.32467332442693,0.341689591195937,0.231049586691985,-0.566437217282236,-0.586403113182401,0.0605533866143417,-0.738627148074832,0.737613698875971,-0.102193643694673,0.0764615872507699,-0.48411171672106,0.145677905549739,1
